Number,Name,Country,Region,Type,Activity Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Tectonic Setting
210010,West Eifel Volcanic Field,Germany,Mediterranean and Western Asia,Maar ,Eruption Dated,8300 BCE,50.17,6.85,600,Rift Zone / Continental Crust (>25 km)
210020,Chaine des Puys,France,Mediterranean and Western Asia,Lava dome ,Eruption Dated,4040 BCE,45.775,2.97,1464,Rift Zone / Continental Crust (>25 km)
210030,Olot Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,42.17,2.53,893,Intraplate / Continental Crust (>25 km)
210040,Calatrava Volcanic Field,Spain,Mediterranean and Western Asia,Pyroclastic cone ,Eruption Dated,3600 BCE,38.87,-4.02,1117,Intraplate / Continental Crust (>25 km)
211001,Larderello,Italy,Mediterranean and Western Asia,Explosion crater ,Eruption Observed,1282 CE,43.25,10.87,500,Subduction Zone / Continental Crust (>25 km)
211003,Vulsini,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,104 BCE,42.6,11.93,800,Subduction Zone / Continental Crust (>25 km)
211004,Colli Alban,Italy,Mediterranean and Western Asia,Caldera,Evidence Uncertain,Unknown,41.73,12.7,949,Subduction Zone / Continental Crust (>25 km)
211010,Campi Flegrei,Italy,Mediterranean and Western Asia,Caldera,Eruption Observed,1538 CE,40.827,14.139,458,Subduction Zone / Continental Crust (>25 km)
211020,Vesuvius,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1944 CE,40.821,14.426,1281,Subduction Zone / Continental Crust (>25 km)
211030,Ischia,Italy,Mediterranean and Western Asia,Complex,Eruption Observed,1302 CE,40.73,13.897,789,Subduction Zone / Continental Crust (>25 km)
211031,Palinuro,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,8040 BCE,39.48,14.83,-70,Subduction Zone / Continental Crust (>25 km)
211040,Stromboli,Italy,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,2016 CE,38.789,15.213,924,Subduction Zone / Continental Crust (>25 km)
211041,Panarea,Italy,Mediterranean and Western Asia,Stratovolcano,Evidence Uncertain,Unknown,38.638,15.064,399,Subduction Zone / Continental Crust (>25 km)
211042,Lipari,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Dated,1230 CE,38.49,14.933,590,Subduction Zone / Continental Crust (>25 km)
211050,Vulcano,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Observed,1890 CE,38.404,14.962,500,Subduction Zone / Continental Crust (>25 km)
211060,Etna,Italy,Mediterranean and Western Asia,Stratovolcano  ,Eruption Observed,2016 CE,37.734,15.004,3330,Subduction Zone / Continental Crust (>25 km)
211070,Campi Flegrei Mar Sicilia,Italy,Mediterranean and Western Asia,Submarine,Eruption Observed,1867 CE,37.1,12.7,-8,Rift Zone / Continental Crust (>25 km)
211071,Pantelleria,Italy,Mediterranean and Western Asia,Shield,Eruption Observed,1891 CE,36.77,12.02,836,Rift Zone / Continental Crust (>25 km)
211080,Marsili,Italy,Mediterranean and Western Asia,Submarine,Eruption Dated,1050 BCE,39.284,14.399,-779,
211800,Amiata,Italy,Mediterranean and Western Asia,Lava dome ,Unrest / Pleistocene,Unknown,42.9,11.63,1738,Subduction Zone / Continental Crust (>25 km)
212020,Methana,Greece,Mediterranean and Western Asia,Lava dome ,Eruption Observed,258 BCE,37.615,23.336,760,Subduction Zone / Continental Crust (>25 km)
212030,Milos,Greece,Mediterranean and Western Asia,Stratovolcano  ,Eruption Dated,140 CE,36.699,24.439,751,Subduction Zone / Continental Crust (>25 km)
212040,Santorini,Greece,Mediterranean and Western Asia,Shield ,Eruption Observed,1950 CE,36.404,25.396,367,Subduction Zone / Continental Crust (>25 km)
212050,Nisyros,Greece,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1888 CE,36.586,27.16,698,Subduction Zone / Continental Crust (>25 km)
212051,Yali,Greece,Mediterranean and Western Asia,Lava dome ,Evidence Credible,Unknown,36.671,27.14,180,Subduction Zone / Continental Crust (>25 km)
212805,Kos,Greece,Mediterranean and Western Asia,Caldera ,Unrest / Pleistocene,Unknown,36.852,27.251,430,Subduction Zone / Continental Crust (>25 km)
213000,Kula,Turkey,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,38.58,28.52,750,Intraplate / Continental Crust (>25 km)
213001,Karapinar Field,Turkey,Mediterranean and Western Asia,Pyroclastic cone ,Evidence Credible,Unknown,37.67,33.65,1302,Intraplate / Continental Crust (>25 km)
213002,Hasan Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,38.13,34.17,3253,Intraplate / Continental Crust (>25 km)
213003,Gollu Dag,Turkey,Mediterranean and Western Asia,Lava dome,Evidence Uncertain,Unknown,38.25,34.57,2143,Intraplate / Continental Crust (>25 km)
213004,Acigol-Nevsehir,Turkey,Mediterranean and Western Asia,Caldera,Eruption Dated,2080 BCE,38.537,34.621,1683,Intraplate / Continental Crust (>25 km)
213010,Erciyes Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,6880 BCE,38.531,35.447,3864,Intraplate / Continental Crust (>25 km)
213011,Karaca Dag,Turkey,Mediterranean and Western Asia,Shield,Evidence Credible,Unknown,37.67,39.83,1957,Intraplate / Continental Crust (>25 km)
213020,Nemrut Dagi,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1650 CE,38.654,42.229,2948,Intraplate / Continental Crust (>25 km)
213030,Tenduruk Dagi,Turkey,Mediterranean and Western Asia,Shield,Eruption Observed,1855 CE,39.356,43.874,3514,Intraplate / Continental Crust (>25 km)
213040,Ararat,Turkey,Mediterranean and Western Asia,Stratovolcano,Eruption Observed,1840 CE,39.7,44.3,5165,Intraplate / Continental Crust (>25 km)
214010,Elbrus,Russia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,50 CE,43.351,42.442,5642,Intraplate / Continental Crust (>25 km)
214020,Kazbek,Georgia,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,750 BCE,42.7,44.5,5050,Intraplate / Continental Crust (>25 km)
214050,Samsari Volcanic Center,Georgia,Mediterranean and Western Asia,Lava cone ,Evidence Uncertain,Unknown,41.542,43.7,3290,Intraplate / Continental Crust (>25 km)
214060,Aragats,Armenia,Mediterranean and Western Asia,Stratovolcano,Evidence Credible,Unknown,40.53,44.2,4095,Intraplate / Continental Crust (>25 km)
214070,Ghegam Ridge,Armenia,Mediterranean and Western Asia,Volcanic field,Eruption Dated,1900 BCE,40.275,44.75,3597,Intraplate / Continental Crust (>25 km)
214080,Dar-Alages,Armenia,Mediterranean and Western Asia,Volcanic field ,Eruption Dated,2000 BCE,39.704,45.551,1637,Intraplate / Continental Crust (>25 km)
214090,Porak,Armenia-Azerbaijan,Mediterranean and Western Asia,Stratovolcano,Eruption Dated,778 BCE,40.028,45.74,3029,Intraplate / Continental Crust (>25 km)
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Mediterranean and Western Asia,Pyroclastic cone ,Eruption Dated,3000 BCE,39.73,46.02,3000,Intraplate / Continental Crust (>25 km)
221010,"Tair, Jebel at",Yemen,Africa and Red Sea,Stratovolcano,Eruption Observed,2008 CE,15.55,41.83,244,Rift Zone / Oceanic Crust (< 15 km)
221020,Zubair Group,Yemen,Africa and Red Sea,Shield,Eruption Observed,2013 CE,15.05,42.18,191,Rift Zone / Oceanic Crust (< 15 km)
221021,Zukur,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,14.02,42.75,624,Rift Zone / Oceanic Crust (< 15 km)
221022,Hanish,Yemen,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.72,42.73,422,Rift Zone / Oceanic Crust (< 15 km)
221030,Jalua,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,15.042,39.82,713,Rift Zone / Intermediate Crust (15-25 km)
221040,Alid,Eritrea,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,14.88,39.92,904,Rift Zone / Intermediate Crust (15-25 km)
221041,Dallol,Ethiopia,Africa and Red Sea,Explosion crater ,Eruption Observed,2011 CE,14.242,40.3,-48,Rift Zone / Intermediate Crust (15-25 km)
221050,Gada Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.975,40.408,287,Rift Zone / Intermediate Crust (15-25 km)
221060,Alu-Dalafilla,Ethiopia,Africa and Red Sea,Fissure vent ,Eruption Observed,2008 CE,13.793,40.553,578,Rift Zone / Intermediate Crust (15-25 km)
221071,Bora Ale,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.725,40.6,668,Rift Zone / Intermediate Crust (15-25 km)
221080,Erta Ale,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,2016 CE,13.6,40.67,613,Rift Zone / Intermediate Crust (15-25 km)
221090,Ale Bagu,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.52,40.63,1031,Rift Zone / Intermediate Crust (15-25 km)
221091,Hayli Gubbi,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.5,40.72,521,Rift Zone / Intermediate Crust (15-25 km)
221100,Dubbi,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,1861 CE,13.579,41.809,1625,Rift Zone / Intermediate Crust (15-25 km)
221101,Nabro,Eritrea,Africa and Red Sea,Stratovolcano,Eruption Observed,2012 CE,13.37,41.7,2218,Rift Zone / Intermediate Crust (15-25 km)
221102,Mallahle,Ethiopia-Eritrea,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.27,41.65,1875,Rift Zone / Intermediate Crust (15-25 km)
221103,Sork Ale,Ethiopia-Eritrea,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.18,41.725,1611,Rift Zone / Intermediate Crust (15-25 km)
221104,Asavyo,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.098,41.599,1338,Rift Zone / Intermediate Crust (15-25 km)
221105,Mat Ala,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.106,41.161,493,Rift Zone / Intermediate Crust (15-25 km)
221106,Tat Ali,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,13.284,41.063,655,Rift Zone / Intermediate Crust (15-25 km)
221107,Borawli,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.304,40.987,784,Rift Zone / Intermediate Crust (15-25 km)
221110,Afdera,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,13.088,40.853,1250,Rift Zone / Intermediate Crust (15-25 km)
221111,Ma Alalta,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,13.013,40.185,1745,Rift Zone / Intermediate Crust (15-25 km)
221112,Alayta,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,1915 CE,12.888,40.573,1496,Rift Zone / Intermediate Crust (15-25 km)
221113,Dabbahu,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,2005 CE,12.595,40.48,1401,Rift Zone / Intermediate Crust (15-25 km)
221114,Dabbayra,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,12.38,40.07,1302,Rift Zone / Intermediate Crust (15-25 km)
221115,Manda Hararo,Ethiopia,Africa and Red Sea,Shield ,Eruption Observed,2009 CE,12.17,40.82,600,Rift Zone / Intermediate Crust (15-25 km)
221116,Groppo,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,11.73,40.25,930,Rift Zone / Intermediate Crust (15-25 km)
221120,Kurub,Ethiopia,Africa and Red Sea,Shield,Evidence Credible,Unknown,11.88,41.208,625,Rift Zone / Intermediate Crust (15-25 km)
221121,Borawli,Ethiopia,Africa and Red Sea,Lava dome ,Evidence Credible,Unknown,11.63,41.45,875,Rift Zone / Intermediate Crust (15-25 km)
221122,Manda-Inakir,Ethiopia-Djibouti,Africa and Red Sea,Fissure vent ,Eruption Observed,1928 CE,12.38,42.2,600,Rift Zone / Intermediate Crust (15-25 km)
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,12.47,42.4,2028,Rift Zone / Intermediate Crust (15-25 km)
221124,Gufa,Eritrea-Djibouti,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,12.55,42.53,600,Rift Zone / Intermediate Crust (15-25 km)
221125,Assab Volcanic Field,Eritrea,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,12.95,42.43,987,Rift Zone / Intermediate Crust (15-25 km)
221126,Ardoukoba,Djibouti,Africa and Red Sea,Fissure vent ,Eruption Observed,1978 CE,11.58,42.47,298,Rift Zone / Intermediate Crust (15-25 km)
221127,Manda Gargori,Ethiopia,Africa and Red Sea,Fissure vent ,Evidence Credible,Unknown,11.75,41.48,0,Rift Zone / Intermediate Crust (15-25 km)
221141,Dama Ali,Ethiopia,Africa and Red Sea,Shield,Eruption Observed,1631 CE,11.28,41.63,1068,Rift Zone / Intermediate Crust (15-25 km)
221150,Gabillema,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,11.08,41.27,1459,Rift Zone / Intermediate Crust (15-25 km)
221151,Yangudi,Ethiopia,Africa and Red Sea,Complex,Evidence Credible,Unknown,10.58,41.042,1383,Rift Zone / Intermediate Crust (15-25 km)
221160,Ayelu,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,10.082,40.702,2145,Rift Zone / Intermediate Crust (15-25 km)
221170,Adwa,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,10.07,40.84,1733,Rift Zone / Intermediate Crust (15-25 km)
221171,Hertali,Ethiopia,Africa and Red Sea,Fissure vent,Evidence Credible,Unknown,9.78,40.33,900,Rift Zone / Intermediate Crust (15-25 km)
221172,Liado Hayk,Ethiopia,Africa and Red Sea,Maar ,Evidence Uncertain,Unknown,9.57,40.28,878,Rift Zone / Continental Crust (>25 km)
221180,Dofan,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,9.35,40.13,1151,Rift Zone / Continental Crust (>25 km)
221190,Fentale,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Observed,1820 CE,8.975,39.93,2007,Rift Zone / Continental Crust (>25 km)
221191,Beru,Ethiopia,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,8.95,39.75,1100,Rift Zone / Continental Crust (>25 km)
221200,Kone,Ethiopia,Africa and Red Sea,Caldera ,Eruption Observed,1820 CE,8.8,39.692,1619,Rift Zone / Continental Crust (>25 km)
221201,Unnamed,Ethiopia,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,8.698,39.64,1413,Rift Zone / Continental Crust (>25 km)
221210,Boset-Bericha,Ethiopia,Africa and Red Sea,Stratovolcano  ,Evidence Credible,Unknown,8.558,39.475,2447,Rift Zone / Continental Crust (>25 km)
221220,Bishoftu Volcanic Field,Ethiopia,Africa and Red Sea,Fissure vent ,Evidence Credible,Unknown,8.78,38.98,1850,Rift Zone / Continental Crust (>25 km)
221222,Sodore,Ethiopia,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,8.43,39.35,1765,Intraplate / Continental Crust (>25 km)
221230,Gedamsa,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,8.35,39.18,1984,Rift Zone / Continental Crust (>25 km)
221240,Bora-Bericcio,Ethiopia,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,8.221,39.05,2267,Rift Zone / Continental Crust (>25 km)
221250,Tullu Moje,Ethiopia,Africa and Red Sea,Pyroclastic cone,Eruption Observed,1900 CE,8.159,39.137,2343,Rift Zone / Continental Crust (>25 km)
221251,Unnamed,Ethiopia,Africa and Red Sea,Fissure vent ,Evidence Credible,Unknown,8.013,39.062,1886,Intraplate / Continental Crust (>25 km)
221252,East Zway,Ethiopia,Africa and Red Sea,Fissure vent ,Evidence Credible,Unknown,7.874,38.902,1889,Rift Zone / Continental Crust (>25 km)
221260,Butajiri-Silti Field,Ethiopia,Africa and Red Sea,Fissure vent ,Evidence Credible,Unknown,8.05,38.35,2281,Rift Zone / Continental Crust (>25 km)
221270,Alutu,Ethiopia,Africa and Red Sea,Stratovolcano,Eruption Dated,50 BCE,7.77,38.78,2335,Rift Zone / Continental Crust (>25 km)
221280,O'a Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,7.47,38.58,2075,Rift Zone / Continental Crust (>25 km)
221290,Corbetti Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Credible,Unknown,7.18,38.43,2320,Rift Zone / Continental Crust (>25 km)
221291,Bilate River Field,Ethiopia,Africa and Red Sea,Maar ,Unrest / Holocene,Unknown,7.07,38.1,1700,Intraplate / Continental Crust (>25 km)
221292,Tepi,Ethiopia,Africa and Red Sea,Shield,Unrest / Holocene,Unknown,7.42,35.43,2728,Intraplate / Continental Crust (>25 km)
221293,Hobicha Caldera,Ethiopia,Africa and Red Sea,Caldera,Evidence Uncertain,Unknown,6.78,37.83,1800,Intraplate / Continental Crust (>25 km)
221300,Chiracha,Ethiopia,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,6.712,38.085,1636,Rift Zone / Continental Crust (>25 km)
221310,Tosa Sucha,Ethiopia,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,5.93,37.57,1650,Rift Zone / Continental Crust (>25 km)
221311,Unnamed,Ethiopia,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,5.65,37.67,1200,Rift Zone / Intermediate Crust (15-25 km)
221320,Korath Range,Ethiopia,Africa and Red Sea,Tuff cone ,Evidence Uncertain,Unknown,5.1,35.88,912,Rift Zone / Intermediate Crust (15-25 km)
221330,Mega Basalt Field,Ethiopia-Kenya,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,4.08,37.42,1067,Rift Zone / Intermediate Crust (15-25 km)
222001,North Island,Kenya,Africa and Red Sea,Tuff cone ,Evidence Credible,Unknown,4.059,36.049,490,Rift Zone / Continental Crust (>25 km)
222010,Central Island,Kenya,Africa and Red Sea,Tuff cone ,Evidence Credible,Unknown,3.496,36.04,518,Rift Zone / Continental Crust (>25 km)
222020,South Island,Kenya,Africa and Red Sea,Stratovolcano,Eruption Observed,1888 CE,2.63,36.6,800,Rift Zone / Continental Crust (>25 km)
222021,Marsabit,Kenya,Africa and Red Sea,Shield,Evidence Uncertain,Unknown,2.32,37.97,1707,Rift Zone / Continental Crust (>25 km)
222030,"Barrier, The",Kenya,Africa and Red Sea,Shield,Eruption Observed,1921 CE,2.32,36.57,1032,Rift Zone / Continental Crust (>25 km)
222040,Namarunu,Kenya,Africa and Red Sea,Shield,Eruption Dated,6550 BCE,1.98,36.43,817,Rift Zone / Continental Crust (>25 km)
222050,Segererua Plateau,Kenya,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,1.57,37.9,699,Rift Zone / Continental Crust (>25 km)
222051,Emuruangogolak,Kenya,Africa and Red Sea,Shield,Eruption Dated,1910 CE,1.5,36.33,1285,Rift Zone / Continental Crust (>25 km)
222052,Silali,Kenya,Africa and Red Sea,Shield,Eruption Dated,5050 BCE,1.15,36.23,1528,Rift Zone / Continental Crust (>25 km)
222053,Paka,Kenya,Africa and Red Sea,Shield,Eruption Dated,7550 BCE,0.92,36.18,1697,Rift Zone / Continental Crust (>25 km)
222054,Korosi,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.77,36.12,1446,Rift Zone / Continental Crust (>25 km)
222055,Ol Kokwe,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.62,36.075,1130,Rift Zone / Continental Crust (>25 km)
222056,Nyambeni Hills,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,0.23,37.87,750,Rift Zone / Continental Crust (>25 km)
222060,Menengai,Kenya,Africa and Red Sea,Shield,Eruption Dated,6050 BCE,-0.2,36.07,2278,Rift Zone / Continental Crust (>25 km)
222070,Homa Mountain,Kenya,Africa and Red Sea,Complex,Evidence Credible,Unknown,-0.38,34.5,1751,Rift Zone / Continental Crust (>25 km)
222071,Elmenteita Badlands,Kenya,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,-0.52,36.27,2126,Rift Zone / Continental Crust (>25 km)
222080,"Eburru, Ol Doinyo",Kenya,Africa and Red Sea,Complex,Evidence Credible,Unknown,-0.65,36.22,2856,Rift Zone / Continental Crust (>25 km)
222090,Olkaria,Kenya,Africa and Red Sea,Pyroclastic cone ,Eruption Dated,1770 CE,-0.904,36.292,2434,Rift Zone / Continental Crust (>25 km)
222100,Longonot,Kenya,Africa and Red Sea,Stratovolcano,Eruption Dated,1863 CE,-0.914,36.446,2776,Rift Zone / Continental Crust (>25 km)
222110,Suswa,Kenya,Africa and Red Sea,Shield,Evidence Credible,Unknown,-1.151,36.357,2356,Rift Zone / Continental Crust (>25 km)
222120,"Lengai, Ol Doinyo",Tanzania,Africa and Red Sea,Stratovolcano,Eruption Observed,2013 CE,-2.764,35.914,2962,Rift Zone / Continental Crust (>25 km)
222130,Chyulu Hills,Kenya,Africa and Red Sea,Volcanic field,Eruption Dated,1855 CE,-2.68,37.88,2188,Rift Zone / Continental Crust (>25 km)
222150,Kilimanjaro,Tanzania,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,-3.07,37.35,5895,Rift Zone / Continental Crust (>25 km)
222160,Meru,Tanzania,Africa and Red Sea,Stratovolcano,Eruption Observed,1910 CE,-3.25,36.75,4565,Rift Zone / Continental Crust (>25 km)
222161,Igwisi Hills,Tanzania,Africa and Red Sea,Pyroclastic cone ,Eruption Dated,10450 BCE,-4.889,31.933,1146,Rift Zone / Continental Crust (>25 km)
222164,Ngozi,Tanzania,Africa and Red Sea,Caldera,Eruption Dated,1450 CE,-8.989,33.554,2614,Rift Zone / Continental Crust (>25 km)
222166,Rungwe,Tanzania,Africa and Red Sea,Stratovolcano,Eruption Dated,1250 CE,-9.135,33.668,2953,Rift Zone / Continental Crust (>25 km)
222170,Kyejo,Tanzania,Africa and Red Sea,Stratovolcano,Eruption Observed,1800 CE,-9.229,33.792,2176,Rift Zone / Continental Crust (>25 km)
222803,Bogoria,Kenya,Africa and Red Sea,Shield,Unrest / Pleistocene,Unknown,0.25,36.08,0,Rift Zone / Continental Crust (>25 km)
223001,Fort Portal,Uganda,Africa and Red Sea,Tuff cone ,Eruption Dated,2120 BCE,0.7,30.25,1615,Rift Zone / Continental Crust (>25 km)
223002,Kyatwa,Uganda,Africa and Red Sea,Tuff cone ,Evidence Uncertain,Unknown,0.45,30.25,1430,Rift Zone / Continental Crust (>25 km)
223003,Katwe-Kikorongo,Uganda,Africa and Red Sea,Tuff cone ,Evidence Credible,Unknown,-0.08,29.92,1067,Rift Zone / Continental Crust (>25 km)
223004,Bunyaruguru,Uganda,Africa and Red Sea,Maar ,Evidence Credible,Unknown,-0.2,30.08,1554,Rift Zone / Continental Crust (>25 km)
223005,Katunga,Uganda,Africa and Red Sea,Tuff cone,Evidence Credible,Unknown,-0.471,30.191,1707,Rift Zone / Continental Crust (>25 km)
223020,Nyamuragira,DR Congo,Africa and Red Sea,Shield,Eruption Observed,2015 CE,-1.408,29.2,3058,Rift Zone / Continental Crust (>25 km)
223030,Nyiragongo,DR Congo,Africa and Red Sea,Stratovolcano,Eruption Observed,2016 CE,-1.52,29.25,3470,Rift Zone / Continental Crust (>25 km)
223040,Karisimbi,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,Eruption Dated,8050 BCE,-1.506,29.45,4490,Rift Zone / Continental Crust (>25 km)
223050,Visoke,DR Congo-Rwanda,Africa and Red Sea,Stratovolcano,Eruption Observed,1957 CE,-1.458,29.485,3696,Rift Zone / Continental Crust (>25 km)
223060,Muhavura,Uganda-Rwanda,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,-1.383,29.678,4103,Rift Zone / Continental Crust (>25 km)
223070,Bufumbira,Uganda,Africa and Red Sea,Pyroclastic cone ,Evidence Uncertain,Unknown,-1.23,29.72,2440,Rift Zone / Continental Crust (>25 km)
223080,Tshibinda,DR Congo,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,-2.32,28.75,1460,Rift Zone / Continental Crust (>25 km)
224002,San Carlos,Equatorial Guinea,Africa and Red Sea,Shield,Evidence Credible,Unknown,3.35,8.52,2260,Intraplate / Continental Crust (>25 km)
224003,San Joaquin,Equatorial Guinea,Africa and Red Sea,Shield,Evidence Credible,Unknown,3.35,8.63,2009,Intraplate / Continental Crust (>25 km)
224004,Santa Isabel,Equatorial Guinea,Africa and Red Sea,Shield,Eruption Observed,1923 CE,3.58,8.75,3007,Intraplate / Continental Crust (>25 km)
224010,Cameroon,Cameroon,Africa and Red Sea,Stratovolcano,Eruption Observed,2000 CE,4.203,9.17,4095,Intraplate / Continental Crust (>25 km)
224011,Tombel Graben,Cameroon,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,4.758,9.717,500,Intraplate / Continental Crust (>25 km)
224030,Oku Volcanic Field,Cameroon,Africa and Red Sea,Stratovolcano,Evidence Uncertain,Unknown,6.25,10.5,3011,Intraplate / Continental Crust (>25 km)
224040,Ngaoundere Plateau,Cameroon,Africa and Red Sea,Volcanic field,Evidence Uncertain,Unknown,7.25,13.67,0,Intraplate / Continental Crust (>25 km)
224050,Biu Plateau,Nigeria,Africa and Red Sea,Volcanic field,Evidence Uncertain,Unknown,10.75,12,0,Intraplate / Continental Crust (>25 km)
225001,Todra Volcanic Field,Niger,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,17.68,8.5,1780,Intraplate / Continental Crust (>25 km)
225002,Tin Zaouatene Volcanic Field,Mali,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,19.83,2.83,0,Intraplate / Continental Crust (>25 km)
225003,In Ezzane Volcanic Field,Algeria-Niger,Africa and Red Sea,Volcanic field,Evidence Uncertain,Unknown,23,10.83,0,Intraplate / Continental Crust (>25 km)
225004,Tahalra Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,22.67,5,1467,Intraplate / Continental Crust (>25 km)
225005,Atakor Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,23.33,5.83,2918,Intraplate / Continental Crust (>25 km)
225006,Manzaz Volcanic Field,Algeria,Africa and Red Sea,Pyroclastic cone ,Evidence Credible,Unknown,23.92,5.83,1672,Intraplate / Continental Crust (>25 km)
225009,"Toh, Tarso",Chad,Africa and Red Sea,Volcanic field,Evidence Credible,Unknown,21.33,16.33,2000,Intraplate / Continental Crust (>25 km)
225010,"Tousside, Tarso",Chad,Africa and Red Sea,Stratovolcano,Evidence Credible,Unknown,21.03,16.45,3265,Intraplate / Continental Crust (>25 km)
225020,"Voon, Tarso",Chad,Africa and Red Sea,Stratovolcano,Unrest / Holocene,Unknown,20.92,17.28,3100,Intraplate / Continental Crust (>25 km)
225021,"Koussi, Emi",Chad,Africa and Red Sea,Pyroclastic shield,Evidence Credible,Unknown,19.8,18.53,3415,Intraplate / Continental Crust (>25 km)
225030,"Marra, Jebel",Sudan,Africa and Red Sea,Volcanic field,Eruption Dated,2000 BCE,12.95,24.27,3042,Intraplate / Continental Crust (>25 km)
225040,Kutum Volcanic Field,Sudan,Africa and Red Sea,Pyroclastic cone ,Evidence Uncertain,Unknown,14.57,25.85,0,Intraplate / Continental Crust (>25 km)
225050,Meidob Volcanic Field,Sudan,Africa and Red Sea,Pyroclastic cone ,Eruption Dated,2950 BCE,15.32,26.47,2000,Intraplate / Continental Crust (>25 km)
